createDate,displayImageUrl,displayName,hasProfanity,hasSpoilers,isSuperReviewer,isVerified,rating,review,score,timeFromCreation,updateDate,user
2019-08-18T14:14:07.734Z,,Jesse S,True,False,False,False,STAR_4,"This movie is good. The original, animated version will still have a place in my heart, but i like this updated version. And screw all those critics who don't like this movie!  This is NOT a shot-for-shot movie there are difference that anybody can see. I am tired of movies. that look good get low ratings. I don't care if everyone has diferent opinions it does not mean that it's valid.",4.0,27m ago,2019-08-18T14:14:07.734Z,"{'userId': 'D91306B7-6A67-4117-B384-6A35AF00C176', 'realm': 'Fandango', 'displayName': 'Jesse S', 'accountLink': None}"
2019-08-18T14:03:41.247Z,,Shae C,False,False,False,True,STAR_4,Followed the original story which I was skeptical. Enjoyed it.,4.0,38m ago,2019-08-18T14:03:41.247Z,"{'userId': 'ff222e0c-e396-4d62-9e6a-82529303cb75', 'realm': 'Fandango', 'displayName': 'Shae C', 'accountLink': None}"
2019-08-18T13:29:32.874Z,https://graph.facebook.com/v3.3/6212197/picture,Scott W,False,False,False,False,STAR_3,"Unlike some other Disney remakes, this one is pretty much the exact same as the original. It has its moments - especially once Timon and Pumbaa arrive. Some parts just felt like an excuse to show off their technology and how many animals they created. There's nothing really wrong with this movie, I just didn't like it as much as Aladdin.",3.0,1h ago,2019-08-18T13:29:32.874Z,"{'userId': '798014537', 'realm': 'RT', 'displayName': 'Scott W', 'accountLink': '/user/id/798014537'}"
2019-08-18T13:23:58.374Z,,William S,False,False,False,True,STAR_5,Loved the movie!! The music was and is great!! I liked the live action!!,5.0,1h ago,2019-08-18T13:23:58.374Z,"{'userId': 'c64b8b43-5e68-41be-b3ec-89b41ec767e4', 'realm': 'Fandango', 'displayName': 'William S', 'accountLink': None}"
2019-08-18T13:22:09.835Z,,Kristy,False,False,False,True,STAR_4_5,It was a well made movie. I,4.5,1h ago,2019-08-18T13:22:09.835Z,"{'userId': '685f2a19-f581-43a6-bdbd-6db9e12a14fc', 'realm': 'Fandango', 'displayName': 'Kristy', 'accountLink': None}"
2019-08-18T12:45:33.930Z,,Kelli,False,False,False,False,STAR_1,"They took all of the puns out!! They took the funny, light hearted jokes out. They destroyed the songs. They took my favorite movie ever and butchered it. It also gave my two year old nightmares.",1.0,2h ago,2019-08-18T12:45:33.930Z,"{'userId': 'db558a10-7aa3-4980-919c-2e786dbf619d', 'realm': 'Fandango', 'displayName': 'Kelli', 'accountLink': None}"
2019-08-18T12:41:58.616Z,,Ashley N,False,False,False,True,STAR_5,Loved it! I am a huge fan of the original so I missed some of the one liners used by that cast. But this one was magical too.,5.0,2h ago,2019-08-18T12:41:58.616Z,"{'userId': '601D3E10-C29D-426E-AF31-E04DF16BD3F2', 'realm': 'Fandango', 'displayName': 'Ashley N', 'accountLink': None}"
2019-08-18T12:30:55.146Z,,Barbara,False,False,False,True,STAR_4,"Honestly, the cartoon is better due to the animals not having the expressive faces to go with the voices, but still entertaining with some great visuals. Little kids might be bored.",4.0,2h ago,2019-08-18T12:30:55.146Z,"{'userId': 'A9AF03F3-CD14-48EA-8506-56363CE41AB6', 'realm': 'Fandango', 'displayName': 'Barbara', 'accountLink': None}"
2019-08-18T12:01:19.487Z,,Ellen,False,False,False,True,STAR_4,Stayed true to original story.  Liked that Midass was voiced by same actor,4.0,3h ago,2019-08-18T12:01:19.487Z,"{'userId': '0c7e063e-0e2d-4b4a-8a9c-ed8249e4db07', 'realm': 'Fandango', 'displayName': 'Ellen', 'accountLink': None}"
2019-08-18T11:38:37.264Z,,KATHY R,False,False,False,True,STAR_5,I thought this was awesome. I enjoyed all the scenery as well. Animals were amazing to look at,5.0,3h ago,2019-08-18T11:38:37.264Z,"{'userId': '61c1b34d-1c98-4f19-a1f5-b07707551baa', 'realm': 'Fandango', 'displayName': 'KATHY R', 'accountLink': None}"
2019-08-18T11:11:52.317Z,,Pamela K,False,False,False,True,STAR_5,It was absolutely beautiful! Loved it!,5.0,3h ago,2019-08-18T11:11:52.317Z,"{'userId': 'ad203738-4ba8-42ec-9710-3d87150b2113', 'realm': 'Fandango', 'displayName': 'Pamela K', 'accountLink': None}"
2019-08-18T11:06:11.645Z,,abel B,False,False,False,False,STAR_1,"Number one didnt cry
Number 2 looks terrible
Finally short af and just a terrible movie in general
Very dissapointed",1.0,4h ago,2019-08-18T11:06:11.645Z,"{'userId': '978203635', 'realm': 'RT', 'displayName': 'abel B', 'accountLink': '/user/id/978203635'}"
2019-08-18T08:54:30.664Z,,Joanne H,False,False,False,True,STAR_5,I liked most that the animation made the animals look so real,5.0,6h ago,2019-08-18T08:54:30.890Z,"{'userId': '2c73ed20-5b9f-41b3-a4fd-8dd3ff8bb20a', 'realm': 'Fandango', 'displayName': 'Joanne H', 'accountLink': None}"
2019-08-18T08:03:49.380Z,https://graph.facebook.com/v3.3/594379764/picture,Frankie C,False,False,False,False,STAR_5,Amazing! So realistic and incredible music,5.0,7h ago,2019-08-18T08:03:49.380Z,"{'userId': '871398953', 'realm': 'RT', 'displayName': 'Frankie C', 'accountLink': '/user/id/871398953'}"
2019-08-18T07:13:32.422Z,,jaycee,False,False,False,False,STAR_5,Classic. Good remake. Loved it. Glover was outstanding,5.0,7h ago,2019-08-18T07:13:32.422Z,"{'userId': 'DD2453B0-37CE-4B47-A099-D15378FC310E', 'realm': 'Fandango', 'displayName': 'jaycee', 'accountLink': None}"
2019-08-18T07:06:08.698Z,https://graph.facebook.com/v3.3/100000479373060/picture,Peter A,False,False,False,False,STAR_2,"Nice animation/CGI but completely lacking the ""Disney"" style humour and wonder of the original.  Undue concentration on violence scared the kiddies.  The real question is ""Why?""",2.0,8h ago,2019-08-18T07:06:46.610Z,"{'userId': '906750266', 'realm': 'RT', 'displayName': 'Peter A', 'accountLink': '/user/id/906750266'}"
2019-08-18T06:38:46.892Z,,Kevin M,False,False,False,True,STAR_4,Good but go mainly for the sentimental value,4.0,8h ago,2019-08-18T06:38:46.892Z,"{'userId': '21FE7D93-351C-43B5-833D-B1DB11F3FD6A', 'realm': 'Fandango', 'displayName': 'Kevin M', 'accountLink': None}"
2019-08-18T05:34:19.360Z,,Angelwolf,False,False,False,True,STAR_4,The animation was really good,4.0,9h ago,2019-08-18T05:34:19.360Z,"{'userId': 'E62CDAD2-329A-4924-8455-35249C3BCC4D', 'realm': 'Fandango', 'displayName': 'Angelwolf', 'accountLink': None}"
