userId,review,sentiment,word_count,clean_review_stemmed,clean_review_lemmatized,clean_review_tokenized,review_lemmatized,review_stemmed,review_tokenized
D91306B7-6A67-4117-B384-6A35AF00C176,this movie is good  the original  animated version will still have a place in my heart  but i like this updated version  and screw all those critics who do not like this movie   this is not a shot for shot movie there are difference that anybody can see  i am tired of movies  that look good get low ratings  i do not care if everyone has diferent opinions it does not mean that it is valid ,0,86,"['movi', 'good', 'origin', 'anim', 'version', 'place', 'heart', 'like', 'updat', 'version', 'screw', 'critic', 'like', 'movi', 'shot', 'shot', 'movi', 'differ', 'anybodi', 'tire', 'movi', 'look', 'good', 'low', 'rate', 'care', 'difer', 'opinion', 'mean', 'valid']","['movie', 'good', 'original', 'animate', 'version', 'place', 'heart', 'like', 'update', 'version', 'screw', 'critic', 'like', 'movie', 'shot', 'shot', 'movie', 'difference', 'anybody', 'tired', 'movie', 'look', 'good', 'low', 'rating', 'care', 'diferent', 'opinion', 'mean', 'valid']","['movie', 'good', 'original', 'animated', 'version', 'place', 'heart', 'like', 'updated', 'version', 'screw', 'critics', 'like', 'movie', 'shot', 'shot', 'movie', 'difference', 'anybody', 'tired', 'movies', 'look', 'good', 'low', 'ratings', 'care', 'diferent', 'opinions', 'mean', 'valid']","['this', 'movie', 'be', 'good', 'the', 'original', 'animate', 'version', 'will', 'still', 'have', 'a', 'place', 'in', '-PRON-', 'heart', 'but', 'i', 'like', 'this', 'update', 'version', 'and', 'screw', 'all', 'those', 'critic', 'who', 'do', 'not', 'like', 'this', 'movie', 'this', 'be', 'not', 'a', 'shot', 'for', 'shot', 'movie', 'there', 'be', 'difference', 'that', 'anybody', 'can', 'see', 'i', 'be', 'tired', 'of', 'movie', 'that', 'look', 'good', 'get', 'low', 'rating', 'i', 'do', 'not', 'care', 'if', 'everyone', 'have', 'diferent', 'opinion', '-PRON-', 'do', 'not', 'mean', 'that', '-PRON-', 'be', 'valid']","['this', 'movi', 'is', 'good', 'the', 'origin', 'anim', 'version', 'will', 'still', 'have', 'a', 'place', 'in', 'my', 'heart', 'but', 'i', 'like', 'this', 'updat', 'version', 'and', 'screw', 'all', 'those', 'critic', 'who', 'do', 'not', 'like', 'this', 'movi', 'this', 'is', 'not', 'a', 'shot', 'for', 'shot', 'movi', 'there', 'are', 'differ', 'that', 'anybodi', 'can', 'see', 'i', 'am', 'tire', 'of', 'movi', 'that', 'look', 'good', 'get', 'low', 'rate', 'i', 'do', 'not', 'care', 'if', 'everyon', 'has', 'difer', 'opinion', 'it', 'doe', 'not', 'mean', 'that', 'it', 'is', 'valid']","['this', 'movie', 'is', 'good', 'the', 'original', 'animated', 'version', 'will', 'still', 'have', 'a', 'place', 'in', 'my', 'heart', 'but', 'i', 'like', 'this', 'updated', 'version', 'and', 'screw', 'all', 'those', 'critics', 'who', 'do', 'not', 'like', 'this', 'movie', 'this', 'is', 'not', 'a', 'shot', 'for', 'shot', 'movie', 'there', 'are', 'difference', 'that', 'anybody', 'can', 'see', 'i', 'am', 'tired', 'of', 'movies', 'that', 'look', 'good', 'get', 'low', 'ratings', 'i', 'do', 'not', 'care', 'if', 'everyone', 'has', 'diferent', 'opinions', 'it', 'does', 'not', 'mean', 'that', 'it', 'is', 'valid']"
ff222e0c-e396-4d62-9e6a-82529303cb75,followed the original story which i was skeptical  enjoyed it ,0,12,"['follow', 'origin', 'stori', 'skeptic', 'enjoy']","['follow', 'original', 'story', 'skeptical', 'enjoy']","['followed', 'original', 'story', 'skeptical', 'enjoyed']","['follow', 'the', 'original', 'story', 'which', 'i', 'be', 'skeptical', 'enjoy', '-PRON-']","['follow', 'the', 'origin', 'stori', 'which', 'i', 'was', 'skeptic', 'enjoy', 'it']","['followed', 'the', 'original', 'story', 'which', 'i', 'was', 'skeptical', 'enjoyed', 'it']"
798014537,unlike some other disney remakes  this one is pretty much the exact same as the original  it has its moments   especially once timon and pumbaa arrive  some parts just felt like an excuse to show off their technology and how many animals they created  there is nothing really wrong with this movie  i just did not like it as much as aladdin ,1,70,"['unlik', 'disney', 'remak', 'pretti', 'exact', 'origin', 'moment', 'especi', 'timon', 'pumbaa', 'arriv', 'part', 'felt', 'like', 'excus', 'technolog', 'anim', 'creat', 'wrong', 'movi', 'like', 'aladdin']","['unlike', 'disney', 'remake', 'pretty', 'exact', 'original', 'moment', 'especially', 'timon', 'pumbaa', 'arrive', 'part', 'feel', 'like', 'excuse', 'technology', 'animal', 'create', 'wrong', 'movie', 'like', 'aladdin']","['unlike', 'disney', 'remakes', 'pretty', 'exact', 'original', 'moments', 'especially', 'timon', 'pumbaa', 'arrive', 'parts', 'felt', 'like', 'excuse', 'technology', 'animals', 'created', 'wrong', 'movie', 'like', 'aladdin']","['unlike', 'some', 'other', 'disney', 'remake', 'this', 'one', 'be', 'pretty', 'much', 'the', 'exact', 'same', 'as', 'the', 'original', '-PRON-', 'have', '-PRON-', 'moment', 'especially', 'once', 'timon', 'and', 'pumbaa', 'arrive', 'some', 'part', 'just', 'feel', 'like', 'an', 'excuse', 'to', 'show', 'off', '-PRON-', 'technology', 'and', 'how', 'many', 'animal', '-PRON-', 'create', 'there', 'be', 'nothing', 'really', 'wrong', 'with', 'this', 'movie', 'i', 'just', 'do', 'not', 'like', '-PRON-', 'as', 'much', 'as', 'aladdin']","['unlik', 'some', 'other', 'disney', 'remak', 'this', 'one', 'is', 'pretti', 'much', 'the', 'exact', 'same', 'as', 'the', 'origin', 'it', 'has', 'it', 'moment', 'especi', 'onc', 'timon', 'and', 'pumbaa', 'arriv', 'some', 'part', 'just', 'felt', 'like', 'an', 'excus', 'to', 'show', 'off', 'their', 'technolog', 'and', 'how', 'mani', 'anim', 'they', 'creat', 'there', 'is', 'noth', 'realli', 'wrong', 'with', 'this', 'movi', 'i', 'just', 'did', 'not', 'like', 'it', 'as', 'much', 'as', 'aladdin']","['unlike', 'some', 'other', 'disney', 'remakes', 'this', 'one', 'is', 'pretty', 'much', 'the', 'exact', 'same', 'as', 'the', 'original', 'it', 'has', 'its', 'moments', 'especially', 'once', 'timon', 'and', 'pumbaa', 'arrive', 'some', 'parts', 'just', 'felt', 'like', 'an', 'excuse', 'to', 'show', 'off', 'their', 'technology', 'and', 'how', 'many', 'animals', 'they', 'created', 'there', 'is', 'nothing', 'really', 'wrong', 'with', 'this', 'movie', 'i', 'just', 'did', 'not', 'like', 'it', 'as', 'much', 'as', 'aladdin']"
c64b8b43-5e68-41be-b3ec-89b41ec767e4,loved the movie   the music was and is great   i liked the live action  ,0,20,"['love', 'movi', 'music', 'great', 'like', 'live', 'action']","['love', 'movie', 'music', 'great', 'like', 'live', 'action']","['loved', 'movie', 'music', 'great', 'liked', 'live', 'action']","['love', 'the', 'movie', 'the', 'music', 'be', 'and', 'be', 'great', 'i', 'like', 'the', 'live', 'action']","['love', 'the', 'movi', 'the', 'music', 'was', 'and', 'is', 'great', 'i', 'like', 'the', 'live', 'action']","['loved', 'the', 'movie', 'the', 'music', 'was', 'and', 'is', 'great', 'i', 'liked', 'the', 'live', 'action']"
685f2a19-f581-43a6-bdbd-6db9e12a14fc,it was a well made movie  i,0,8,['movi'],['movie'],['movie'],"['-PRON-', 'be', 'a', 'well', 'make', 'movie', 'i']","['it', 'was', 'a', 'well', 'made', 'movi', 'i']","['it', 'was', 'a', 'well', 'made', 'movie', 'i']"
db558a10-7aa3-4980-919c-2e786dbf619d,they took all of the puns out   they took the funny  light hearted jokes out  they destroyed the songs  they took my favorite movie ever and butchered it  it also gave my two year old nightmares ,1,43,"['took', 'pun', 'took', 'funni', 'light', 'heart', 'joke', 'destroy', 'song', 'took', 'favorit', 'movi', 'butcher', 'gave', 'year', 'old', 'nightmar']","['take', 'pun', 'take', 'funny', 'light', 'hearted', 'joke', 'destroy', 'song', 'take', 'favorite', 'movie', 'butcher', 'give', 'year', 'old', 'nightmare']","['took', 'puns', 'took', 'funny', 'light', 'hearted', 'jokes', 'destroyed', 'songs', 'took', 'favorite', 'movie', 'butchered', 'gave', 'year', 'old', 'nightmares']","['-PRON-', 'take', 'all', 'of', 'the', 'pun', 'out', '-PRON-', 'take', 'the', 'funny', 'light', 'hearted', 'joke', 'out', '-PRON-', 'destroy', 'the', 'song', '-PRON-', 'take', '-PRON-', 'favorite', 'movie', 'ever', 'and', 'butcher', '-PRON-', '-PRON-', 'also', 'give', '-PRON-', 'two', 'year', 'old', 'nightmare']","['they', 'took', 'all', 'of', 'the', 'pun', 'out', 'they', 'took', 'the', 'funni', 'light', 'heart', 'joke', 'out', 'they', 'destroy', 'the', 'song', 'they', 'took', 'my', 'favorit', 'movi', 'ever', 'and', 'butcher', 'it', 'it', 'also', 'gave', 'my', 'two', 'year', 'old', 'nightmar']","['they', 'took', 'all', 'of', 'the', 'puns', 'out', 'they', 'took', 'the', 'funny', 'light', 'hearted', 'jokes', 'out', 'they', 'destroyed', 'the', 'songs', 'they', 'took', 'my', 'favorite', 'movie', 'ever', 'and', 'butchered', 'it', 'it', 'also', 'gave', 'my', 'two', 'year', 'old', 'nightmares']"
601D3E10-C29D-426E-AF31-E04DF16BD3F2,loved it  i am a huge fan of the original so i missed some of the one liners used by that cast  but this one was magical too ,0,31,"['love', 'huge', 'fan', 'origin', 'miss', 'liner', 'cast', 'magic']","['love', 'huge', 'fan', 'original', 'miss', 'liner', 'cast', 'magical']","['loved', 'huge', 'fan', 'original', 'missed', 'liners', 'cast', 'magical']","['love', '-PRON-', 'i', 'be', 'a', 'huge', 'fan', 'of', 'the', 'original', 'so', 'i', 'miss', 'some', 'of', 'the', 'one', 'liner', 'use', 'by', 'that', 'cast', 'but', 'this', 'one', 'be', 'magical', 'too']","['love', 'it', 'i', 'am', 'a', 'huge', 'fan', 'of', 'the', 'origin', 'so', 'i', 'miss', 'some', 'of', 'the', 'one', 'liner', 'use', 'by', 'that', 'cast', 'but', 'this', 'one', 'was', 'magic', 'too']","['loved', 'it', 'i', 'am', 'a', 'huge', 'fan', 'of', 'the', 'original', 'so', 'i', 'missed', 'some', 'of', 'the', 'one', 'liners', 'used', 'by', 'that', 'cast', 'but', 'this', 'one', 'was', 'magical', 'too']"
A9AF03F3-CD14-48EA-8506-56363CE41AB6,honestly  the cartoon is better due to the animals not having the expressive faces to go with the voices  but still entertaining with some great visuals  little kids might be bored ,0,35,"['honest', 'cartoon', 'better', 'anim', 'have', 'express', 'face', 'voic', 'entertain', 'great', 'visual', 'littl', 'kid', 'bore']","['honestly', 'cartoon', 'better', 'animal', 'have', 'expressive', 'face', 'voice', 'entertain', 'great', 'visual', 'little', 'kid', 'bore']","['honestly', 'cartoon', 'better', 'animals', 'having', 'expressive', 'faces', 'voices', 'entertaining', 'great', 'visuals', 'little', 'kids', 'bored']","['honestly', 'the', 'cartoon', 'be', 'better', 'due', 'to', 'the', 'animal', 'not', 'have', 'the', 'expressive', 'face', 'to', 'go', 'with', 'the', 'voice', 'but', 'still', 'entertain', 'with', 'some', 'great', 'visual', 'little', 'kid', 'may', 'be', 'bore']","['honest', 'the', 'cartoon', 'is', 'better', 'due', 'to', 'the', 'anim', 'not', 'have', 'the', 'express', 'face', 'to', 'go', 'with', 'the', 'voic', 'but', 'still', 'entertain', 'with', 'some', 'great', 'visual', 'littl', 'kid', 'might', 'be', 'bore']","['honestly', 'the', 'cartoon', 'is', 'better', 'due', 'to', 'the', 'animals', 'not', 'having', 'the', 'expressive', 'faces', 'to', 'go', 'with', 'the', 'voices', 'but', 'still', 'entertaining', 'with', 'some', 'great', 'visuals', 'little', 'kids', 'might', 'be', 'bored']"
0c7e063e-0e2d-4b4a-8a9c-ed8249e4db07,stayed true to original story   liked that midass was voiced by same actor,0,15,"['stay', 'true', 'origin', 'stori', 'like', 'midass', 'voic', 'actor']","['stay', 'true', 'original', 'story', 'like', 'midass', 'voice', 'actor']","['stayed', 'true', 'original', 'story', 'liked', 'midass', 'voiced', 'actor']","['stay', 'true', 'to', 'original', 'story', 'like', 'that', 'midass', 'be', 'voice', 'by', 'same', 'actor']","['stay', 'true', 'to', 'origin', 'stori', 'like', 'that', 'midass', 'was', 'voic', 'by', 'same', 'actor']","['stayed', 'true', 'to', 'original', 'story', 'liked', 'that', 'midass', 'was', 'voiced', 'by', 'same', 'actor']"
61c1b34d-1c98-4f19-a1f5-b07707551baa,i thought this was awesome  i enjoyed all the scenery as well  animals were amazing to look at,0,20,"['thought', 'awesom', 'enjoy', 'sceneri', 'anim', 'amaz', 'look']","['think', 'awesome', 'enjoy', 'scenery', 'animal', 'amazing', 'look']","['thought', 'awesome', 'enjoyed', 'scenery', 'animals', 'amazing', 'look']","['i', 'think', 'this', 'be', 'awesome', 'i', 'enjoy', 'all', 'the', 'scenery', 'as', 'well', 'animal', 'be', 'amazing', 'to', 'look', 'at']","['i', 'thought', 'this', 'was', 'awesom', 'i', 'enjoy', 'all', 'the', 'sceneri', 'as', 'well', 'anim', 'were', 'amaz', 'to', 'look', 'at']","['i', 'thought', 'this', 'was', 'awesome', 'i', 'enjoyed', 'all', 'the', 'scenery', 'as', 'well', 'animals', 'were', 'amazing', 'to', 'look', 'at']"
