Merchant_ID,Fraudster
53637,0
243517,0
343640,0
69889,0
125706,0
99740,0
286064,0
106848,0
312957,0
97205,0
120661,0
173548,0
254038,0
391538,0
188014,0
220190,0
27820,0
162677,0
122060,0
46254,0
49870,0
24152,0
204988,0
393097,0
255378,0
353951,0
165626,0
113385,0
205651,0
370089,0
223981,0
283583,0
327710,0
28201,0
270263,0
327276,0
299107,0
386822,0
26543,0
110284,0
27020,0
76529,0
24930,0
23802,0
355736,0
174266,0
33823,0
151021,0
194559,0
252712,0
368363,0
113016,0
132070,0
78156,0
317269,0
326838,0
72839,0
121927,0
301950,0
198203,0
61610,0
362744,0
48728,0
45545,0
213735,0
228373,0
379887,0
390085,0
241600,0
142665,0
27154,0
14287,0
312931,0
26864,0
45683,0
225402,0
284587,0
330969,0
118138,0
371664,0
226508,0
341360,0
106985,0
342499,0
332644,0
228557,0
115694,0
261693,0
40880,0
183995,0
150161,0
361832,0
105907,0
392345,0
77534,0
240493,0
164194,0
333690,0
64698,0
152452,0
11137,0
391344,0
153554,0
256138,0
236251,0
220823,0
375738,0
391786,0
66162,0
75065,0
72453,0
155445,0
263751,0
381064,0
387439,0
201638,0
125515,0
344768,0
127028,0
49597,0
264028,0
158796,0
205904,0
6250,0
383592,0
234850,0
143850,0
370917,0
74268,0
375776,0
207285,0
396357,0
345815,0
236745,0
291905,0
186515,0
288607,0
355145,0
84408,0
371715,0
39875,0
66169,0
207629,0
206812,0
61166,0
78086,0
5221,0
189789,0
14458,0
314859,0
206715,0
171508,0
309742,0
140410,0
187689,0
85693,0
47083,0
83993,0
158664,0
127683,0
240893,0
282760,0
356639,0
31483,0
164230,0
328922,0
315183,0
77512,0
58699,0
339212,0
4832,0
62885,0
396760,0
210627,0
111105,0
355279,0
14283,0
318032,0
147925,0
31681,0
143666,0
89439,0
130520,0
197613,0
196386,0
79208,0
165848,0
386799,0
383661,0
174302,0
207219,0
122068,0
189884,0
24758,0
136274,0
276704,0
226002,0
162835,0
368730,0
60141,0
177721,0
182302,0
151456,0
184392,0
316759,0
195875,0
90797,0
184439,0
49621,0
363686,0
166841,0
126879,0
119948,0
190528,0
215808,0
82729,0
311880,0
54443,0
72354,0
2166,0
247760,0
374153,0
360472,0
106202,0
213572,0
372318,0
79121,0
217304,0
398165,0
208479,0
125765,0
377990,0
69535,0
133432,0
196982,0
344697,0
283624,0
4769,0
15350,0
86353,0
128861,0
147757,0
204439,0
217621,0
165186,0
17547,0
87329,0
25867,0
315344,0
139706,0
98961,0
282749,0
255393,0
326451,0
17502,0
261154,0
136569,0
164983,0
5240,0
185069,0
375557,0
47814,0
281141,0
52900,0
182206,0
214948,0
4014,0
215720,0
260530,0
310133,0
135891,0
100521,0
229361,0
277039,0
299928,0
138418,0
162082,0
242880,0
138730,0
237336,0
53729,0
269899,0
160895,0
50394,0
